file,segment_type,count_A,count_B,diff_B_minus_A,records_A,records_B
context_108916.json,structured,34,34,0,1,1
context_108916.json,root_preamble,1,1,0,1,1
context_108937.json,structured,5,5,0,1,1
context_108937.json,root_preamble,1,1,0,1,1
context_109045.json,structured,54,54,0,1,1
context_109045.json,root_preamble,1,1,0,1,1
context_109124.json,structured,1,1,0,1,1
context_109124.json,root_preamble,1,1,0,1,1
context_10920.json,structured,1,1,0,1,1
context_10920.json,root_preamble,1,1,0,1,1
context_109206.json,structured,3,3,0,1,1
context_109206.json,root_preamble,1,1,0,1,1
context_109220.json,structured,21,21,0,1,1
context_109220.json,root_preamble,1,1,0,1,1
context_10929.json,structured,56,56,0,1,1
context_10929.json,root_preamble,1,1,0,1,1
context_109317.json,structured,4,4,0,1,1
context_109317.json,root_preamble,1,1,0,1,1
context_109368.json,unstructured_whole,1,1,0,1,1
context_109388.json,structured,2,2,0,1,1
context_109388.json,root_preamble,1,1,0,1,1
context_109430.json,structured,3,3,0,1,1
context_109430.json,root_preamble,1,1,0,1,1
context_109457.json,structured,30,30,0,1,1
context_109457.json,root_preamble,1,1,0,1,1
context_109480.json,structured,42,42,0,1,1
context_109480.json,root_preamble,1,1,0,1,1
context_109488.json,structured,46,46,0,1,1
context_109488.json,root_preamble,1,1,0,1,1
context_109496.json,structured,1,1,0,1,1
context_109496.json,root_preamble,1,1,0,1,1
context_109526.json,structured,5,5,0,1,1
context_109526.json,root_preamble,1,1,0,1,1
context_109559.json,structured,5,5,0,1,1
context_109559.json,root_preamble,1,1,0,1,1
context_109560.json,unstructured_whole,1,1,0,1,1
context_109743.json,structured,6,6,0,1,1
context_109743.json,root_preamble,1,1,0,1,1
context_109755.json,structured,3,3,0,1,1
context_109755.json,root_preamble,1,1,0,1,1
context_109768.json,structured,2,2,0,1,1
context_109768.json,root_preamble,1,1,0,1,1
context_109771.json,structured,3,3,0,1,1
context_109771.json,root_preamble,1,1,0,1,1
context_109796.json,structured,50,50,0,1,1
context_109796.json,root_preamble,1,1,0,1,1
context_109843.json,structured,21,21,0,1,1
context_109843.json,root_preamble,1,1,0,1,1
context_109906.json,structured,9,9,0,1,1
context_109906.json,root_preamble,1,1,0,1,1
context_109978.json,structured,30,30,0,1,1
context_109978.json,root_preamble,1,1,0,1,1
context_110.json,structured,4,4,0,1,1
context_110.json,root_preamble,1,1,0,1,1
context_110016.json,unstructured_whole,1,1,0,1,1
context_110023.json,structured,21,21,0,1,1
context_110023.json,root_preamble,1,1,0,1,1
context_110037.json,structured,23,23,0,1,1
context_110037.json,root_preamble,1,1,0,1,1
context_110049.json,structured,9,9,0,1,1
context_110049.json,root_preamble,1,1,0,1,1
context_110053.json,structured,32,32,0,1,1
context_110053.json,root_preamble,1,1,0,1,1
context_110127.json,structured,6,6,0,1,1
